"town"	"lng"	"lat"
"ANG MO KIO"	103.845481	1.37
"BEDOK"	103.930384	1.324643
"BISHAN"	103.847609	1.349938
"BUKIT BATOK"	103.74889	1.348353
"BUKIT MERAH"	103.823988	1.282265
"BUKIT PANJANG"	103.767756	1.379973
"BUKIT TIMAH"	103.802154	1.329633
"CENTRAL AREA"	103.853995	1.302796
"CHOA CHU KANG"	103.743971	1.384147
"CLEMENTI"	103.765726	1.314345
"GEYLANG"	103.883757	1.313402
"HOUGANG"	103.885911	1.360872
"JURONG EAST"	103.743452	1.334664
"JURONG WEST"	103.715934	1.34587
"KALLANG/WHAMPOA"	103.86281	1.317181
"LIM CHU KANG"	103.697596	1.385026
"MARINE PARADE"	103.897025	1.30239
"PASIR RIS"	103.950556	1.372867
"PUNGGOL"	103.903639	1.404436
"QUEENSTOWN"	103.805492	1.29391
"SEMBAWANG"	103.819627	1.449593
"SENGKANG"	103.894713	1.390504
"SERANGOON"	103.873627	1.350382
"TAMPINES"	103.945726	1.352214
"TOA PAYOH"	103.84764	1.334441
"WOODLANDS"	103.789007	1.437372
"YISHUN"	103.835738	1.429363
