"COUNTY","POP"
"BEDFORDSHIRE",655000
"BERKSHIRE",890600
"BRISTOL",449300
"BUCKINGHAMSHIRE",790200
"CAMBRIDGESHIRE",841200
"CHESHIRE",1043500
"CITY OF LONDON",8800
"CORNWALL",551700
"CUMBRIA",498000
"DERBYSHIRE",1036600
"DEVON",1169200
"DORSET",765700
"DURHAM",855900
"EAST RIDING OF YORKSHIRE",595700
"EAST SUSSEX",829300
"ESSEX",1787000
"GLOUCESTERSHIRE",891800
"LONDON",8665000
"GREATER MANCHESTER",2756200
"HAMPSHIRE",1814300
"HEREFORDSHIRE",188100
"HERTFORDSHIRE",1166300
"ISLE OF WIGHT",139400
"KENT",1801200
"LANCASHIRE",1478100
"LEICESTERSHIRE",1017900
"LINCOLNSHIRE",1066100
"MERSEYSIDE",1398000
"NORFOLK",885000
"NORTH YORKSHIRE",1140400
"NORTHAMPTONSHIRE",723000
"NORTHUMBERLAND",315300
"NOTTINGHAMSHIRE",1124700
"OXFORDSHIRE",677800
"RUTLAND",38000
"SHROPSHIRE",482500
"SOMERSET",940200
"SOUTH YORKSHIRE",1374700
"STAFFORDSHIRE",1114200
"SUFFOLK",741900
"SURREY",1168800
"TYNE AND WEAR",1122200
"WARWICKSHIRE",554000
"WEST MIDLANDS",2833600
"WEST SUSSEX",836300
"WEST YORKSHIRE",2281700
"WILTSHIRE",703300
"WORCESTERSHIRE",578600
