"COUNTY","T_PRES","T_ITEM","PERIOD","POP","D_PRES","D_ITEM"
"BEDFORDSHIRE",96994,3728,201501,655000,148,6
"BERKSHIRE",179220,6984,201501,890600,201,8
"BRISTOL",57264,2342,201501,449300,127,5
"BUCKINGHAMSHIRE",73081,2594,201501,790200,92,3
"CAMBRIDGESHIRE",132953,5581,201501,841200,158,7
"CHESHIRE",384049,15733,201501,1043500,368,15
"CORNWALL",161048,6705,201501,551700,292,12
"CUMBRIA",180694,7383,201501,498000,363,15
"DERBYSHIRE",215432,8270,201501,1036600,208,8
"DEVON",345965,13975,201501,1169200,296,12
"DORSET",178757,6308,201501,765700,233,8
"DURHAM",312666,15174,201501,855900,365,18
"EAST RIDING OF YORKSHIRE",42012,1625,201501,595700,71,3
"EAST SUSSEX",250162,10390,201501,829300,302,13
"ESSEX",435667,17740,201501,1787000,244,10
"GLOUCESTERSHIRE",117632,5171,201501,891800,132,6
"GREATER MANCHESTER",195959,7983,201501,2756200,71,3
"HAMPSHIRE",480339,17372,201501,1814300,265,10
"HEREFORDSHIRE",36834,1456,201501,188100,196,8
"HERTFORDSHIRE",198191,7816,201501,1166300,170,7
"ISLE OF WIGHT",38441,1383,201501,139400,276,10
"KENT",450062,17499,201501,1801200,250,10
"LANCASHIRE",670319,27067,201501,1478100,454,18
"LEICESTERSHIRE",141348,5641,201501,1017900,139,6
"LINCOLNSHIRE",254327,11685,201501,1066100,239,11
"LONDON",871351,35595,201501,8665000,101,4
"MERSEYSIDE",281855,11502,201501,1398000,202,8
"NORFOLK",231789,9812,201501,885000,262,11
"NORTH YORKSHIRE",249262,9853,201501,1140400,219,9
"NORTHAMPTONSHIRE",137661,5675,201501,723000,190,8
"NORTHUMBERLAND",84833,4045,201501,315300,269,13
"NOTTINGHAMSHIRE",123125,4615,201501,1124700,109,4
"OXFORDSHIRE",93158,3611,201501,677800,137,5
"RUTLAND",1111,50,201501,38000,29,1
"SHROPSHIRE",109298,3819,201501,482500,227,8
"SOMERSET",226661,8654,201501,940200,241,9
"SOUTH YORKSHIRE",339191,13935,201501,1374700,247,10
"STAFFORDSHIRE",237799,9287,201501,1114200,213,8
"SUFFOLK",232078,8640,201501,741900,313,12
"SURREY",333833,12752,201501,1168800,286,11
"TYNE AND WEAR",324519,17278,201501,1122200,289,15
"WARWICKSHIRE",86129,3319,201501,554000,155,6
"WEST MIDLANDS",309246,11912,201501,2833600,109,4
"WEST SUSSEX",204163,7594,201501,836300,244,9
"WEST YORKSHIRE",405474,18203,201501,2281700,178,8
"WILTSHIRE",157148,6383,201501,703300,223,9
"WORCESTERSHIRE",95221,3983,201501,578600,165,7
"BEDFORDSHIRE",90300,3532,201502,655000,138,5
"BERKSHIRE",166459,6461,201502,890600,187,7
"BRISTOL",51865,2166,201502,449300,115,5
"BUCKINGHAMSHIRE",69192,2446,201502,790200,88,3
"CAMBRIDGESHIRE",120476,5095,201502,841200,143,6
"CHESHIRE",361399,14912,201502,1043500,346,14
"CORNWALL",147136,6134,201502,551700,267,11
"CUMBRIA",176950,7209,201502,498000,355,14
"DERBYSHIRE",197005,7555,201502,1036600,190,7
"DEVON",317570,12885,201502,1169200,272,11
"DORSET",161543,5771,201502,765700,211,8
"DURHAM",287924,13912,201502,855900,336,16
"EAST RIDING OF YORKSHIRE",39080,1534,201502,595700,66,3
"EAST SUSSEX",223519,9259,201502,829300,270,11
"ESSEX",395497,16159,201502,1787000,221,9
"GLOUCESTERSHIRE",111477,4856,201502,891800,125,5
"GREATER MANCHESTER",179975,7358,201502,2756200,65,3
"HAMPSHIRE",443933,16218,201502,1814300,245,9
"HEREFORDSHIRE",35346,1370,201502,188100,188,7
"HERTFORDSHIRE",177944,7186,201502,1166300,153,6
"ISLE OF WIGHT",33093,1225,201502,139400,237,9
"KENT",416299,16214,201502,1801200,231,9
"LANCASHIRE",627320,25456,201502,1478100,424,17
"LEICESTERSHIRE",133321,5296,201502,1017900,131,5
"LINCOLNSHIRE",233660,10798,201502,1066100,219,10
"LONDON",792028,32460,201502,8665000,91,4
"MERSEYSIDE",261549,10737,201502,1398000,187,8
"NORFOLK",213345,9118,201502,885000,241,10
"NORTH YORKSHIRE",229880,9211,201502,1140400,202,8
"NORTHAMPTONSHIRE",127053,5317,201502,723000,176,7
"NORTHUMBERLAND",80243,3873,201502,315300,254,12
"NOTTINGHAMSHIRE",111815,4249,201502,1124700,99,4
"OXFORDSHIRE",89619,3448,201502,677800,132,5
"RUTLAND",913,40,201502,38000,24,1
"SHROPSHIRE",105353,3728,201502,482500,218,8
"SOMERSET",207858,8027,201502,940200,221,9
"SOUTH YORKSHIRE",324387,13244,201502,1374700,236,10
"STAFFORDSHIRE",220938,8601,201502,1114200,198,8
"SUFFOLK",212535,7883,201502,741900,286,11
"SURREY",306070,11797,201502,1168800,262,10
"TYNE AND WEAR",301390,16341,201502,1122200,269,15
"WARWICKSHIRE",81797,3095,201502,554000,148,6
"WEST MIDLANDS",287891,11085,201502,2833600,102,4
"WEST SUSSEX",189460,6976,201502,836300,227,8
"WEST YORKSHIRE",386798,17360,201502,2281700,170,8
"WILTSHIRE",149214,6095,201502,703300,212,9
"WORCESTERSHIRE",91687,3751,201502,578600,158,6
"BEDFORDSHIRE",99986,3895,201503,655000,153,6
"BERKSHIRE",185397,7188,201503,890600,208,8
"BRISTOL",53983,2276,201503,449300,120,5
"BUCKINGHAMSHIRE",77358,2752,201503,790200,98,3
"CAMBRIDGESHIRE",136540,5835,201503,841200,162,7
"CHESHIRE",395001,16342,201503,1043500,379,16
"CORNWALL",166936,6935,201503,551700,303,13
"CUMBRIA",199156,7991,201503,498000,400,16
"DERBYSHIRE",222430,8483,201503,1036600,215,8
"DEVON",358243,14609,201503,1169200,306,12
"DORSET",182568,6437,201503,765700,238,8
"DURHAM",324827,15921,201503,855900,380,19
