"state","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949"
"ALABAMA",2845000,2902000,2941000,2902000,2802000,2775000,2911000,2942000,2969000,3e+06
"ARKANSAS",1955000,1969000,1977000,1843000,1768000,1762000,1797000,1836000,1825000,1844000
"ARIZONA",499000,490000,524000,692000,610000,594000,616000,653000,690000,714000
"CALIFORNIA",6950000,7237000,7735000,8506000,8945000,9344000,9559000,9832000,10064000,10337000
"COLORADO",1130000,1124000,1113000,1153000,1137000,1116000,1203000,1237000,1263000,1295000
"CONNECTICUT",1708000,1746000,1792000,1792000,1778000,1769000,1906000,1967000,2014000,2032000
"DISTRICT OF COLUMBIA",690000,764000,851000,9e+05,881000,876000,899000,888000,840000,807000
"DELAWARE",269000,275000,279000,282000,285000,286000,299000,305000,312000,316000
"FLORIDA",1915000,2017000,2151000,2451000,2420000,2465000,2440000,2528000,2578000,2668000
"GEORGIA",3119000,3179000,3209000,3245000,3176000,3119000,3242000,3272000,3259000,3325000
"IOWA",2537000,2491000,2439000,2334000,2301000,2308000,2467000,2509000,2543000,2578000
"IDAHO",522000,501000,478000,5e+05,529000,507000,509000,522000,551000,570000
"ILLINOIS",7905000,7995000,8057000,7761000,7719000,7601000,8155000,8341000,8552000,8670000
"INDIANA",3433000,3483000,3507000,3449000,3440000,3427000,3702000,3779000,3877000,3958000
"KANSAS",1788000,1765000,1760000,1796000,1779000,1731000,1805000,1853000,1892000,1925000
"KENTUCKY",2859000,2824000,2797000,2693000,2631000,2597000,2761000,2803000,2817000,2849000
"LOUISIANA",2370000,2484000,2546000,2565000,2508000,2429000,2556000,2579000,2596000,2634000
"MASSACHUSETTS",4318000,4389000,4370000,4257000,4192000,4201000,4494000,4580000,4674000,4741000
"MARYLAND",1839000,1913000,1998000,2089000,2118000,2096000,2214000,2248000,2271000,2329000
"MAINE",849000,852000,839000,806000,801000,8e+05,832000,854000,878000,903000
"MICHIGAN",5315000,5472000,5549000,5405000,5467000,5475000,5874000,6076000,6213000,6332000
"MINNESOTA",2790000,2718000,2662000,2577000,2526000,2537000,2734000,2796000,2868000,2935000
"MISSOURI",3786000,3811000,3829000,3705000,3560000,3516000,3746000,3845000,3844000,3882000
"MISSISSIPPI",2176000,2184000,2210000,2280000,2167000,2090000,2064000,2107000,2076000,2085000
"MONTANA",558000,543000,518000,485000,469000,477000,514000,531000,542000,569000
"NORTH CAROLINA",3574000,3589000,3569000,3654000,3560000,3533000,3706000,3769000,3837000,3911000
"NORTH DAKOTA",640000,615000,583000,546000,534000,546000,570000,578000,580000,597000
"NEBRASKA",1316000,1272000,1239000,1241000,1216000,1211000,1256000,1265000,1265000,1302000
"NEW HAMPSHIRE",492000,490000,481000,462000,456000,459000,494000,507000,520000,533000
"NEW JERSEY",4175000,4254000,4297000,4226000,4158000,4108000,4492000,4618000,4774000,4889000
"NEW MEXICO",531000,506000,502000,534000,527000,537000,561000,582000,604000,644000
"NEVADA",113000,120000,137000,151000,153000,149000,143000,149000,156000,157000
"NEW YORK",13456000,13267000,13002000,12807000,12628000,12495000,13398000,13982000,14497000,14892000
"OHIO",6929000,6958000,6969000,6868000,6918000,6916000,7512000,7705000,7876000,7973000
"OKLAHOMA",2325000,2262000,2215000,2205000,2043000,2028000,2128000,2133000,2089000,2105000
"OREGON",1086000,1071000,1107000,1221000,1233000,1250000,1338000,1361000,1405000,1431000
"PENNSYLVANIA",9896000,9911000,9704000,9444000,9214000,9143000,9866000,10196000,10287000,10390000
"RHODE ISLAND",719000,731000,748000,760000,795000,776000,770000,776000,787000,801000
"SOUTH CAROLINA",1902000,1962000,2007000,1967000,1943000,1934000,1936000,1992000,1996000,2029000
"SOUTH DAKOTA",641000,613000,589000,587000,565000,579000,588000,601000,612000,631000
"TENNESSEE",2935000,2973000,2939000,2972000,2868000,2878000,3074000,3166000,3216000,3236000
"TEXAS",6425000,6585000,6711000,7012000,6876000,6826000,7197000,7388000,7626000,7623000
"UTAH",552000,551000,575000,631000,605000,591000,638000,636000,653000,671000
"VIRGINIA",2720000,2855000,3038000,3130000,3248000,3193000,3212000,3201000,3207000,3292000
"VERMONT",363000,348000,343000,327000,314000,315000,342000,354000,359000,369000
"WASHINGTON",1740000,1789000,1901000,2027000,2092000,2206000,2288000,2211000,2255000,2294000
"WISCONSIN",3143000,3140000,3053000,3014000,2980000,2961000,3167000,3250000,3314000,3391000
"WEST VIRGINIA",1907000,1885000,1831000,1741000,1706000,1708000,1826000,1883000,1899000,1930000
"WYOMING",250000,247000,251000,247000,242000,239000,254000,258000,269000,277000
