"state"	"variable"	"value"
"ALABAMA"	"1930"	165.810351341141
"ARIZONA"	"1930"	485.483870967742
"ARKANSAS"	"1930"	53.5771920387305
"CALIFORNIA"	"1930"	763.176326387673
"COLORADO"	"1930"	1136.63461538462
"CONNECTICUT"	"1930"	122.628642281463
"DELAWARE"	"1930"	110.460251046025
"DISTRICT OF COLUMBIA"	"1930"	185.040983606557
"FLORIDA"	"1930"	359.415363698164
"GEORGIA"	"1930"	155.910652920962
"IDAHO"	"1930"	202.908277404922
"ILLINOIS"	"1930"	222.056514913658
"INDIANA"	"1930"	127.421344848859
"IOWA"	"1930"	395.636363636364
"KANSAS"	"1930"	666.967604885821
"KENTUCKY"	"1930"	70.873046130385
"LOUISIANA"	"1930"	86.3182897862233
"MAINE"	"1930"	200.25
"MARYLAND"	"1930"	77.3838630806846
"MASSACHUSETTS"	"1930"	640.894117647059
"MICHIGAN"	"1930"	585.229623500207
"MINNESOTA"	"1930"	219.565217391304
"MISSISSIPPI"	"1930"	NA
"MISSOURI"	"1930"	176.769061985738
"MONTANA"	"1930"	117.996289424861
"NEBRASKA"	"1930"	745.942028985507
"NEVADA"	"1930"	NA
"NEW HAMPSHIRE"	"1930"	142.703862660944
"NEW JERSEY"	"1930"	607.251720747296
"NEW MEXICO"	"1930"	538.64168618267
"NEW YORK"	"1930"	316.335889934372
"NORTH CAROLINA"	"1930"	45.1215661509315
"NORTH DAKOTA"	"1930"	119.208211143695
"OHIO"	"1930"	278.30981687181
"OKLAHOMA"	"1930"	165.805914202416
"OREGON"	"1930"	281.485355648536
"PENNSYLVANIA"	"1930"	363.726811068505
"RHODE ISLAND"	"1930"	39.2128279883382
"SOUTH CAROLINA"	"1930"	14.4412607449857
"SOUTH DAKOTA"	"1930"	346.320346320346
"TENNESSEE"	"1930"	183.008781977854
"TEXAS"	"1930"	74.880219028063
"UTAH"	"1930"	1045.77603143418
"VERMONT"	"1930"	238.888888888889
"VIRGINIA"	"1930"	NA
"WASHINGTON"	"1930"	633.354591836735
"WEST VIRGINIA"	"1930"	158.915175995384
"WISCONSIN"	"1930"	753.898305084746
"WYOMING"	"1930"	342.035398230089
"ALABAMA"	"1931"	337.259343148358
"ARIZONA"	"1931"	497.668997668998
"ARKANSAS"	"1931"	45.9415584415584
"CALIFORNIA"	"1931"	477.455357142857
"COLORADO"	"1931"	453.314393939394
"CONNECTICUT"	"1931"	790.479115479115
"DELAWARE"	"1931"	1003.30578512397
"DISTRICT OF COLUMBIA"	"1931"	832.936507936508
"FLORIDA"	"1931"	260.817146684528
"GEORGIA"	"1931"	104.411764705882
"IDAHO"	"1931"	25.9911894273128
"ILLINOIS"	"1931"	516.950695980226
"INDIANA"	"1931"	541.234264660731
"IOWA"	"1931"	34.2868654311039
"KANSAS"	"1931"	93.4609250398724
"KENTUCKY"	"1931"	181.033182503771
"LOUISIANA"	"1931"	11.4877589453861
"MAINE"	"1931"	434.324659231722
"MARYLAND"	"1931"	1264.87628243814
"MASSACHUSETTS"	"1931"	386.793785310735
"MICHIGAN"	"1931"	133.451438099208
"MINNESOTA"	"1931"	123.527161438409
"MISSISSIPPI"	"1931"	NA
"MISSOURI"	"1931"	369.792508757747
"MONTANA"	"1931"	284.814814814815
"NEBRASKA"	"1931"	24.9277456647399
"NEVADA"	"1931"	NA
"NEW HAMPSHIRE"	"1931"	299.148936170213
"NEW JERSEY"	"1931"	494.199029126214
"NEW MEXICO"	"1931"	324.54128440367
"NEW YORK"	"1931"	423.225404732254
"NORTH CAROLINA"	"1931"	480.496231155779
"NORTH DAKOTA"	"1931"	142.058823529412
"OHIO"	"1931"	291.305646847924
"OKLAHOMA"	"1931"	32.2097378277154
"OREGON"	"1931"	242.546583850932
"PENNSYLVANIA"	"1931"	821.55145771093
"RHODE ISLAND"	"1931"	665.051395007342
"SOUTH CAROLINA"	"1931"	189.960068454079
"SOUTH DAKOTA"	"1931"	212.391930835735
"TENNESSEE"	"1931"	134.776063229206
"TEXAS"	"1931"	39.546300998815
"UTAH"	"1931"	29.8245614035088
"VERMONT"	"1931"	318.384401114206
"VIRGINIA"	"1931"	NA
"WASHINGTON"	"1931"	197.406704617331
"WEST VIRGINIA"	"1931"	291.379310344828
"WISCONSIN"	"1931"	506.555183946488
"WYOMING"	"1931"	60.6986899563319
"ALABAMA"	"1932"	10.1771579344139
"ARIZONA"	"1932"	20.18779342723
"ARKANSAS"	"1932"	5.3921568627451
"CALIFORNIA"	"1932"	214.082117407533
"COLORADO"	"1932"	222.889305816135
"CONNECTICUT"	"1932"	348.25901038485
"DELAWARE"	"1932"	15.9183673469388
"DISTRICT OF COLUMBIA"	"1932"	53.2163742690058
"FLORIDA"	"1932"	13.6094674556213
"GEORGIA"	"1932"	34.3781942078365
"IDAHO"	"1932"	8.71459694989107
"ILLINOIS"	"1932"	208.285935884178
"INDIANA"	"1932"	88.8143858579701
"IOWA"	"1932"	6.34793089594215
"KANSAS"	"1932"	326.606479022836
"KENTUCKY"	"1932"	72.9820627802691
"LOUISIANA"	"1932"	67.4245939675174
"MAINE"	"1932"	1086.25766871166
"MARYLAND"	"1932"	65.1370679380214
"MASSACHUSETTS"	"1932"	463.183845973233
"MICHIGAN"	"1932"	881.087866108787
"MINNESOTA"	"1932"	95.0869236583522
"MISSISSIPPI"	"1932"	NA
"MISSOURI"	"1932"	43.1927389215163
"MONTANA"	"1932"	1007.96296296296
"NEBRASKA"	"1932"	31.6017316017316
"NEVADA"	"1932"	NA
"NEW HAMPSHIRE"	"1932"	151.26582278481
"NEW JERSEY"	"1932"	373.956310679612
"NEW MEXICO"	"1932"	271.8820861678
"NEW YORK"	"1932"	465.071917544804
"NORTH CAROLINA"	"1932"	423.086458010536
"NORTH DAKOTA"	"1932"	318.047337278107
"OHIO"	"1932"	539.347923179991
"OKLAHOMA"	"1932"	43.1913116123642
"OREGON"	"1932"	514.197530864197
"PENNSYLVANIA"	"1932"	470.678000819336
"RHODE ISLAND"	"1932"	1472.67355982275
"SOUTH CAROLINA"	"1932"	182.608695652174
"SOUTH DAKOTA"	"1932"	96.3872832369942
