"state"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"	"1950"	"1951"	"1952"	"1953"	"1954"	"1955"	"1956"	"1957"	"1958"	"1959"	"1960"	"1961"	"1962"	"1963"	"1964"	"1965"	"1966"	"1967"	"1968"	"1969"	"1970"	"1971"	"1972"	"1973"	"1974"	"1975"	"1976"	"1977"	"1978"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"
"ALABAMA"	2647000	2649000	2653000	2661000	2685000	2719000	2743000	2762000	2787000	2814000	2845000	2902000	2941000	2902000	2802000	2775000	2911000	2942000	2969000	3e+06	3058000	3059000	3068000	3053000	3014000	3050000	3071000	3109000	3163000	3204000	3274000	3316000	3323000	3358000	3395000	3443000	3464000	3458000	3446000	3440000	3444354	3497076	3539400	3579780	3626499	3678814	3735139	3780403	3831836	3866248	3893888	3918531	3925266	3934102	3951820	3972523	3991569	4015264	4023844	4030222	553290	570193	588736	599432	603308	604412	608569	612968	619932	624779	627963	633714
"ARIZONA"	434000	429000	426000	426000	428000	434000	443000	453000	466000	484000	499000	490000	524000	692000	610000	594000	616000	653000	690000	714000	756000	785000	842000	894000	933000	987000	1053000	1125000	1193000	1261000	1321000	1407000	1471000	1521000	1556000	1584000	1614000	1646000	1682000	1737000	1775399	1895814	2008291	2124438	2223196	2284847	2346157	2425197	2515316	2635571	2718215	2810107	2889861	2968925	3067135	3183538	3308262	3437103	3535183	3622185	2356586	2383144	2415984	2456303	2494019	2535399	2572109	2601090	2626289	2651860	2678588	2691571
"ARKANSAS"	1859000	1848000	1836000	1854000	1878000	1890000	1892000	1903000	1928000	1948000	1955000	1969000	1977000	1843000	1768000	1762000	1797000	1836000	1825000	1844000	1908000	1901000	1838000	1780000	1734000	1725000	1704000	1733000	1726000	1756000	1789000	1806000	1853000	1875000	1897000	1894000	1899000	1901000	1902000	1913000	1923322	1972312	2018638	2059256	2101403	2159526	2170161	2209010	2243127	2271333	2286435	2293201	2294257	2305761	2319768	2327046	2331984	2342355	2342656	2346358	3684097	3788576	3915740	4065440	4245089	4432499	4586940	4736990	4883342	5023823	5160586	5273477
"CALIFORNIA"	5711000	5824000	5894000	5963000	6060000	6175000	6341000	6528000	6656000	6785000	6950000	7237000	7735000	8506000	8945000	9344000	9559000	9832000	10064000	10337000	10677000	11134000	11635000	12251000	12746000	13133000	13713000	14264000	14880000	15467000	15870000	16497000	17072000	17668000	18151000	18585000	18858000	19176000	19394000	19711000	19971069	20345939	20585469	20868728	21173865	21537849	21935909	22352396	22835958	23256880	23667902	24285933	24820009	25360026	25844393	26441109	27102237	27777158	28464249	29218164	29959515	30470736	30974659	31274928	31484435	31696582	32018834	32486010	32987675	33499204	33987977	34479458
"COLORADO"	1040000	1056000	1066000	1071000	1075000	1078000	1090000	1104000	1112000	1120000	1130000	1124000	1113000	1153000	1137000	1116000	1203000	1237000	1263000	1295000	1325000	1326000	1365000	1431000	1493000	1546000	1625000	1664000	1667000	1710000	1769000	1844000	1899000	1936000	1970000	1985000	2007000	2053000	2120000	2166000	2209596	2303524	2404619	2495868	2541406	2586192	2632306	2696140	2766748	2849234	2889964	2977898	3061564	3133630	3169992	3208723	3237450	3260480	3262281	3275818	3307618	3387119	3495939	3613734	3724168	3826653	3919972	4018293	4116639	4226018	4326921	4425687
"CONNECTICUT"	1613000	1628000	1637000	1642000	1650000	1666000	1672000	1678000	1684000	1696000	1708000	1746000	1792000	1792000	1778000	1769000	1906000	1967000	2014000	2032000	2016000	2028000	2081000	2168000	2249000	2300000	2316000	2359000	2446000	2523000	2544000	2586000	2647000	2727000	2798000	2857000	2903000	2935000	2964000	3e+06	3032217	3060938	3068699	3067814	3074047	3082500	3083335	3085722	3091627	3095917	3107576	3128836	3139013	3162354	3180014	3201131	3223740	3247291	3271953	3283403	3291967	3302895	3300712	3309175	3316121	3324144	3336685	3349348	3365352	3386401	3411777	3432835
"DELAWARE"	239000	242000	245000	248000	250000	252000	253000	254000	257000	263000	269000	275000	279000	282000	285000	286000	299000	305000	312000	316000	321000	331000	341000	351000	368000	389000	408000	426000	433000	441000	449000	461000	469000	483000	497000	507000	516000	525000	534000	540000	548104	564708	572913	577759	581418	586589	590166	591829	594776	594984	594338	595975	599148	605458	611565	618280	627559	636947	647622	658273	605321	600870	597565	595301	589239	580517	572377	567736	565230	570213	572046	574504
"DISTRICT OF COLUMBIA"	488000	504000	513000	529000	568000	608000	629000	616000	638000	658000	690000	764000	851000	9e+05	881000	876000	899000	888000	840000	807000	806000	808000	805000	810000	791000	785000	759000	763000	757000	761000	765000	778000	788000	798000	798000	797000	791000	791000	778000	762000	756668	749781	742241	731488	717947	706871	692295	677228	665052	650016	638333	636893	634174	632433	633382	634549	638269	636930	630432	624168	669567	683080	694925	706378	717545	729734	740977	751487	763335	774990	786373	795699
"FLORIDA"	1471000	1493000	1521000	1552000	1585000	1613000	1651000	1709000	1771000	1836000	1915000	2017000	2151000	2451000	2420000	2465000	2440000	2528000	2578000	2668000	2810000	2980000	3157000	3310000	3505000	3747000	4047000	4372000	4630000	4808000	5004000	5243000	5458000	5628000	5781000	5954000	6104000	6242000	6433000	6641000	6791418	7158304	7511463	7913696	8298762	8518422	8667379	8856183	9102032	9426159	9746324	10192774	10471407	10749851	11039925	11351118	11667505	11997283	12306395	12637715	13033307	13369798	13650553	13927185	14239444	14537875	14853360	15186304	15486559	15759421	16047515	16356966
"GEORGIA"	2910000	2924000	2935000	2950000	2964000	2955000	2978000	3037000	3091000	3120000	3119000	3179000	3209000	3245000	3176000	3119000	3242000	3272000	3259000	3325000	3458000	3531000	3584000	3558000	3602000	3636000	3701000	3766000	3804000	3868000	3956000	4015000	4086000	4172000	4258000	4332000	4379000	4408000	4482000	4551000	4587930	4711550	4809490	4910374	4999419	5064075	5132812	5219697	5295751	5401384	5463105	5568345	5649792	5728250	5834954	5962661	6084666	6208467	6316142	6411099	6512602	6653005	6817203	6978240	7157165	7328413	7501069	7685099	7863536	8045965	8227303	8377038
